X,CH1,CH2,
Second,Volt,Volt,
1.4699998e-02,6.00000e-02,3.20000e-02,
1.4799998e-02,6.00000e-02,3.60000e-02,
1.4899999e-02,6.00000e-02,4.00000e-02,
1.4999999e-02,7.20000e-02,3.60000e-02,
1.5099999e-02,6.40000e-02,4.40000e-02,
1.5199998e-02,6.80000e-02,4.20000e-02,
1.5299998e-02,6.40000e-02,5.40000e-02,
1.5399998e-02,7.20000e-02,5.40000e-02,
1.5499999e-02,7.60000e-02,6.00000e-02,
1.5599999e-02,8.80000e-02,6.00000e-02,
1.5699998e-02,8.80000e-02,5.80000e-02,
1.5799999e-02,1.08000e-01,5.60000e-02,
1.5899999e-02,1.08000e-01,7.00000e-02,
1.5999999e-02,1.12000e-01,6.40000e-02,
1.6099999e-02,1.16000e-01,6.80000e-02,
1.6199999e-02,1.24000e-01,7.20000e-02,
1.6299998e-02,1.36000e-01,7.60000e-02,
1.6399998e-02,1.48000e-01,7.20000e-02,
1.6499998e-02,1.60000e-01,6.80000e-02,
1.6599998e-02,1.68000e-01,8.20000e-02,
1.6699998e-02,1.76000e-01,8.60000e-02,
1.6799998e-02,1.80000e-01,8.20000e-02,
1.6899999e-02,1.96000e-01,8.40000e-02,
1.6999999e-02,2.16000e-01,8.60000e-02,
1.7099999e-02,2.24000e-01,8.80000e-02,
1.7199999e-02,2.36000e-01,8.80000e-02,
1.7299999e-02,2.60000e-01,8.60000e-02,
1.7399998e-02,2.68000e-01,9.00000e-02,
1.7499998e-02,2.84000e-01,8.80000e-02,
1.7599998e-02,2.88000e-01,9.00000e-02,
1.7699998e-02,3.00000e-01,9.60000e-02,
1.7799998e-02,3.24000e-01,8.60000e-02,
1.7899998e-02,3.28000e-01,9.80000e-02,
1.7999997e-02,3.40000e-01,9.80000e-02,
1.8099999e-02,3.48000e-01,9.80000e-02,
1.8199999e-02,3.52000e-01,9.80000e-02,
1.8299999e-02,3.52000e-01,1.04000e-01,
1.8399999e-02,3.72000e-01,9.60000e-02,
1.8499998e-02,3.68000e-01,9.60000e-02,
1.8599998e-02,3.68000e-01,9.40000e-02,
1.8699998e-02,3.56000e-01,1.04000e-01,
1.8799998e-02,3.60000e-01,9.00000e-02,
1.8899998e-02,3.52000e-01,9.80000e-02,
1.8999998e-02,3.32000e-01,9.40000e-02,
1.9099997e-02,3.16000e-01,9.60000e-02,
1.9199999e-02,3.04000e-01,9.80000e-02,
1.9299999e-02,2.92000e-01,9.00000e-02,
1.9399999e-02,2.76000e-01,9.20000e-02,
1.9499999e-02,2.52000e-01,9.40000e-02,
1.9599998e-02,2.44000e-01,8.80000e-02,
1.9699998e-02,2.24000e-01,8.60000e-02,
1.9799998e-02,2.12000e-01,8.60000e-02,
1.9899998e-02,1.92000e-01,9.00000e-02,
1.9999998e-02,1.80000e-01,8.60000e-02,
2.0099998e-02,1.60000e-01,8.20000e-02,
2.0199997e-02,1.40000e-01,8.80000e-02,
2.0299997e-02,1.40000e-01,7.80000e-02,
2.0399999e-02,1.24000e-01,7.80000e-02,
